Reference_Date,Gold_Ask_995,Gold_Bid_995,Sov_Old_Ask,Sov_Old_Bid,Sov_New_Upto1973_Ask,Sov_New_Upto1973_Bid,Sov_New_Post1974_Ask,Sov_New_Post1974_Bid,Gold_Spread,Sov_Old_Spread,Sov_New_Upto1973_Spread,Sov_New_Post1974_Spread
2009-08-03,20.7,23.32,151.61,182.04,151.61,182.04,151.61,182.04,-2.62,-30.43,-30.43,-30.43
2009-08-04,20.47,23.07,150.16,180.31,150.16,180.31,150.16,180.31,-2.6,-30.15,-30.15,-30.15
2009-08-05,20.67,23.29,151.99,181.48,151.99,181.48,151.99,181.48,-2.62,-29.49,-29.49,-29.49
2009-08-25,20.42,23.01,151.72,179.87,151.72,179.87,151.72,179.87,-2.59,-28.15,-28.15,-28.15
2009-08-31,20.62,23.24,152.64,181.61,152.64,181.61,152.64,181.61,-2.62,-28.97,-28.97,-28.97
2009-09-03,21.11,23.78,156.9,185.37,156.9,185.37,156.9,185.37,-2.67,-28.47,-28.47,-28.47
2009-09-04,21.45,24.18,159.16,188.49,159.16,188.49,159.16,188.49,-2.73,-29.33,-29.33,-29.33
2009-09-09,21.21,23.89,157.21,186.83,157.21,186.83,157.21,186.83,-2.68,-29.62,-29.62,-29.62
2009-09-10,21.08,23.74,156.39,185.14,156.39,185.14,156.39,185.14,-2.66,-28.75,-28.75,-28.75
2009-09-14,21.28,23.96,158.08,186.95,158.08,186.95,158.08,186.95,-2.68,-28.87,-28.87,-28.87
2009-09-15,21.12,23.76,156.57,185.26,156.57,185.26,156.57,185.26,-2.64,-28.69,-28.69,-28.69
2009-09-16,21.25,23.92,157.42,186.81,157.42,186.81,157.42,186.81,-2.67,-29.39,-29.39,-29.39
2009-09-21,20.96,23.72,154.34,185.17,154.34,185.17,154.34,185.17,-2.76,-30.83,-30.83,-30.83
2009-10-01,21.16,23.94,156.4,186.74,156.4,186.74,156.4,186.74,-2.78,-30.34,-30.34,-30.34
2009-10-07,21.72,24.59,160.15,192.03,160.15,192.03,160.15,192.03,-2.87,-31.88,-31.88,-31.88
2009-10-08,21.93,24.83,161.58,194.17,161.58,194.17,161.58,194.17,-2.9,-32.59,-32.59,-32.59
2009-10-15,21.73,24.6,160.38,191.94,160.38,191.94,160.38,191.94,-2.87,-31.56,-31.56,-31.56
2009-10-27,21.5,24.34,158.78,190.29,158.78,190.29,158.78,190.29,-2.84,-31.51,-31.51,-31.51
2009-11-02,21.77,24.64,160.88,192.71,160.88,192.71,160.88,192.71,-2.87,-31.83,-31.83,-31.83
2009-11-03,22.1,25.01,163.26,195.21,163.26,195.21,163.26,195.21,-2.91,-31.95,-31.95,-31.95
2009-11-04,22.62,25.6,166.66,199.62,166.66,199.62,166.66,199.62,-2.98,-32.96,-32.96,-32.96
2009-11-12,22.97,25.99,169.56,203.01,169.56,203.01,169.56,203.01,-3.02,-33.45,-33.45,-33.45
2009-11-16,23.18,26.23,171.21,204.81,171.21,204.81,171.21,204.81,-3.05,-33.6,-33.6,-33.6
2009-11-18,23.5,26.59,173.46,208.01,173.46,208.01,173.46,208.01,-3.09,-34.55,-34.55,-34.55
2009-11-23,23.95,27.1,176.89,211.59,176.89,211.59,176.89,211.59,-3.15,-34.7,-34.7,-34.7
2009-11-26,24.26,27.46,179.47,214.77,179.47,214.77,179.47,214.77,-3.2,-35.3,-35.3,-35.3
2009-11-27,23.68,26.81,175.14,209.14,175.14,209.14,175.14,209.14,-3.13,-34,-34,-34
2009-11-30,23.93,27.1,176.13,211.29,176.13,211.29,176.13,211.29,-3.17,-35.16,-35.16,-35.16
2009-12-01,24.17,27.34,178.14,213.52,178.14,213.52,178.14,213.52,-3.17,-35.38,-35.38,-35.38
2009-12-02,24.72,27.97,182.83,218.34,182.83,218.34,182.83,218.34,-3.25,-35.51,-35.51,-35.51
2009-12-07,23.86,27.01,176.12,210.84,176.12,210.84,176.12,210.84,-3.15,-34.72,-34.72,-34.72
2009-12-09,23.66,26.78,174.69,208.87,174.69,208.87,174.69,208.87,-3.12,-34.18,-34.18,-34.18
2009-12-16,23.92,27.07,176.89,211.48,176.89,211.48,176.89,211.48,-3.15,-34.59,-34.59,-34.59
2009-12-18,23.63,26.75,174.76,208.76,174.76,208.76,174.76,208.76,-3.12,-34,-34,-34
2009-12-21,23.87,27.02,175.95,210.81,175.95,210.81,175.95,210.81,-3.15,-34.86,-34.86,-34.86
2009-12-22,23.53,26.63,173.78,207.85,173.78,207.85,173.78,207.85,-3.1,-34.07,-34.07,-34.07
2009-12-28,23.77,26.9,175.33,210.08,175.33,210.08,175.33,210.08,-3.13,-34.75,-34.75,-34.75
2009-12-29,23.53,26.63,173.55,208.13,173.55,208.13,173.55,208.13,-3.1,-34.58,-34.58,-34.58
2010-01-04,23.78,26.92,175.67,209.85,175.67,209.85,175.67,209.85,-3.14,-34.18,-34.18,-34.18
2010-01-05,23.97,27.12,176.61,212.06,176.61,212.06,176.61,212.06,-3.15,-35.45,-35.45,-35.45
2010-01-07,24.22,27.4,178.77,213.73,178.77,213.73,178.77,213.73,-3.18,-34.96,-34.96,-34.96
2010-01-11,24.44,27.66,180.63,216.23,180.63,216.23,180.63,216.23,-3.22,-35.6,-35.6,-35.6
2010-01-13,23.95,27.1,176.9,211.59,176.9,211.59,176.9,211.59,-3.15,-34.69,-34.69,-34.69
